DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	3p24.3	3	18145113	intergenic	TBC1D5			ENSG00000131374			rs76412624-?	rs76412624	0	76412624	intron_variant	0	NR	2E-6	5.698970004336019		1.4925373	[1.27-1.75]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	21q21.3	21	28099170	intergenic	LINC01697			ENSG00000232079			rs7281081-?	rs7281081	0	7281081	intron_variant	0	NR	5E-6	5.301029995663981		1.2658228	[1.15-1.41]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	22q12.3	22	34413463	intergenic	LINC01643 - LINC02885	ENSG00000236052	ENSG00000286592		194667	343213	rs1580226-?	rs1580226	0	1580226	intergenic_variant	1	NR	8E-6	5.096910013008056		1.2195122	[1.12-1.33]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	17q11.2	17	27772145	NOS2	NOS2			ENSG00000007171			rs2274894-?	rs2274894	0	2274894	3_prime_UTR_variant	0	NR	8E-7	6.096910013008056		1.2048193	[1.11-1.28]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	7p12.3	7	46912235	intergenic	EPS15P1 - MRPL42P4	ENSG00000242948	ENSG00000242552		129100	113893	rs7784778-?	rs7784778	0	7784778	intron_variant	1	NR	6E-6	5.221848749616356		1.1904762	[1.1-1.28]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	1q24.2	1	169954535	C1orf112, SCYL3, KIFAP3	KIFAP3			ENSG00000075945			rs508063-A	rs508063	0	508063	intron_variant	0	NR	6E-7	6.221848749616356		1.2	[1.12-1.28]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	2q13	2	112065743	MERTK, TMEM87B	TMEM87B			ENSG00000153214			rs10171979-C	rs10171979	0	10171979	intron_variant	0	NR	3E-6	5.522878745280337		1.2	[1.11-1.30]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	8q21.3	8	87623714	intergenic	CNBD1 - SOX5P1	ENSG00000176571	ENSG00000254376		8495	164848	rs10093384-A	rs10093384	0	10093384	intron_variant	1	NR	7E-6	5.154901959985743		1.2	[1.11-1.31]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	5q15	5	96790605	ERAP1	ERAP1			ENSG00000164307			rs27529-A	rs27529	0	27529	missense_variant	0	NR	2E-7	6.698970004336019		1.22	[1.13-1.31]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
2020-09-04	32492107	Huang XF	2020-06-01	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/32492107	Genomewide Association Study of Acute Anterior Uveitis Identifies New Susceptibility Loci.	Acute anterior uveitis in ankylosing spondylitis	2,752 European ancestry cases, 3,836 European ancestry controls	NA	16p13.3	16	1475709	CLCN7	CLCN7 - RPS3AP2	ENSG00000103249	ENSG00000219027		632	2121	rs67412457-A	rs67412457	0	67412457	regulatory_region_variant	1	NR	1E-6	6.0		1.25	[1.14-1.36]	Illumina [7436415] (imputed)	N	anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	GCST010481	Genome-wide genotyping array
