riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
0.94,,9,-14,False,False,known,,[1.56-2.27],,1.89,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11209026-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'IL23R', 'entrezGeneIds': [{'entrezGeneId': '149233'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000162594'}]}]}",2024-02-16T18:15:01.000+0000,2024-02-16T18:15:01.000+0000,9e-14,14408,,Single variant,"[{'riskAlleleName': 'rs11209026-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'IL23R', 'entrezGeneIds': [{'entrezGeneId': '149233'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000162594'}]}]",rs11209026-?,,,
0.45,,5,-7,False,False,novel,,[1.10-1.27],,1.18,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2310173-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'IL1R2', 'entrezGeneIds': [{'entrezGeneId': '7850'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115590'}]}]}",2024-02-16T18:15:03.000+0000,2024-02-16T18:15:03.000+0000,5e-07,14411,,Single variant,"[{'riskAlleleName': 'rs2310173-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'IL1R2', 'entrezGeneIds': [{'entrezGeneId': '7850'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115590'}]}]",rs2310173-A,,,
0.63,,8,-20,False,False,novel,,[1.28-1.49],,1.39,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2242944-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'PSMG1', 'entrezGeneIds': [{'entrezGeneId': '8624'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000183527'}]}]}",2024-02-16T18:15:05.000+0000,2024-02-16T18:15:05.000+0000,8e-20,14415,,Single variant,"[{'riskAlleleName': 'rs2242944-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'PSMG1', 'entrezGeneIds': [{'entrezGeneId': '8624'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000183527'}]}]",rs2242944-?,,,
NR,,5,-304,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7743761-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'MHC', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T18:15:52.000+0000,2024-02-16T18:15:53.000+0000,5e-304,14414,,Single variant,"[{'riskAlleleName': 'rs7743761-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'MHC', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs7743761-?,,,
0.40,,2,-19,False,False,novel,,[1.18-1.37],,1.27,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10865331-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'B3GNT2', 'entrezGeneIds': [{'entrezGeneId': '10678'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170340'}]}]}",2024-02-16T18:14:54.000+0000,2024-02-16T18:14:54.000+0000,2e-19,14409,,Single variant,"[{'riskAlleleName': 'rs10865331-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'B3GNT2', 'entrezGeneIds': [{'entrezGeneId': '10678'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000170340'}]}]",rs10865331-A,,,
0.23,,5,-12,False,False,known,,[1.10-1.30],,1.19,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs27434-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]}",2024-02-16T18:14:57.000+0000,2024-02-16T18:14:57.000+0000,5e-12,14413,,Single variant,"[{'riskAlleleName': 'rs27434-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]",rs27434-A,,,
0.45,,2,-6,False,False,novel,,[1.15-1.33],,1.24,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1018326-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T18:41:55.000+0000,2024-02-16T18:41:55.000+0000,2e-06,14416,,Single variant,"[{'riskAlleleName': 'rs1018326-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs1018326-C,,,
0.05,,4,-6,False,False,novel,,[1.58-2.29],,1.9,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1326986-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T18:41:57.000+0000,2024-02-16T18:41:57.000+0000,4e-06,14417,,Single variant,"[{'riskAlleleName': 'rs1326986-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs1326986-C,,,
0.64,,9,-8,False,False,novel,,[1.12-1.32],,1.22,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4333130-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'ANTXR2', 'entrezGeneIds': [{'entrezGeneId': '118429'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000163297'}]}]}",2024-02-16T18:56:54.000+0000,2024-02-16T18:56:54.000+0000,9e-08,14412,,Single variant,"[{'riskAlleleName': 'rs4333130-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'ANTXR2', 'entrezGeneIds': [{'entrezGeneId': '118429'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000163297'}]}]",rs4333130-?,,,
0.93,,2,-17,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11209026-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'IL23R', 'entrezGeneIds': [{'entrezGeneId': '149233'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000162594'}]}]}",2024-02-16T18:51:45.000+0000,2024-02-16T18:51:45.000+0000,2e-17,18609,,Single variant,"[{'riskAlleleName': 'rs11209026-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'IL23R', 'entrezGeneIds': [{'entrezGeneId': '149233'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000162594'}]}]",rs11209026-G,,,
